"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TUBB4A",71166.0888694464,30,2.95661229784061,10.1467480270953,3.42589339279399e-24,5.99422959013005e-23
"SF1",68415.1603288596,30,2.95661230683824,10.1467479962165,3.42589447642519e-24,5.99422959013005e-23
"FYTTD1",66661.0097166127,30,2.95661231297034,10.1467479751719,3.42589521494736e-24,5.99422959013005e-23
"ACTN1",63926.5800402756,30,2.95661232319342,10.1467479400874,3.42589644616763e-24,5.99422959013005e-23
"AP1G1",63579.4874796581,30,2.95661232455423,10.1467479354173,3.42589661005717e-24,5.99422959013005e-23
"MYO1D",63321.2792573886,30,2.95661232557433,10.1467479319164,3.42589673291277e-24,5.99422959013005e-23
"EIF2B2",61774.7637968093,30,2.95661233188599,10.1467479102555,3.42589749306066e-24,5.99422959013005e-23
"IGFALS",58185.7549739244,30,2.95661234778274,10.1467478556998,3.4258994075924e-24,5.99422959013005e-23
"MPV17",57500.6990338694,30,2.95661235104338,10.1467478445096,3.42589980028846e-24,5.99422959013005e-23
"NUDT5",52529.7191141663,30,2.95661237726498,10.1467477545202,3.42590295830082e-24,5.99422959013005e-23
"PPP2R5E",51655.1283971899,30,2.95661238240012,10.146747736897,3.42590357675452e-24,5.99422959013005e-23
"ACAN",51381.8886093633,30,2.95661238404037,10.1467477312678,3.42590377429842e-24,5.99422959013005e-23
"FGF12",48797.9445157428,30,2.95661240045907,10.1467476749208,3.42590575169527e-24,5.99422959013005e-23
"ATP2B1",48167.0673552215,30,2.9566124047112,10.146747660328,3.42590626380362e-24,5.99422959013005e-23
"SRP68",46085.5991051234,30,2.9566124196744,10.146747608976,3.42590806590782e-24,5.99422959013005e-23
"ATP6V1C1",43400.0338789386,30,2.95661244106618,10.1467475355619,3.42591064224366e-24,5.99422959013005e-23
"WNK1",42036.6052984774,30,2.956612452961,10.1467474947403,3.4259120748067e-24,5.99422959013005e-23
"THNSL1",41380.076219141,30,2.9566124589858,10.1467474740639,3.42591280040862e-24,5.99422959013005e-23
"EGFLAM",41316.9925356785,30,2.95661245957363,10.1467474720465,3.42591287120484e-24,5.99422959013005e-23
"DNM1L",38983.4589106124,30,2.95661248254711,10.1467473932043,3.4259156380369e-24,5.99422959013005e-23
"SUPT5H",32975.9612749625,30,2.95661255710862,10.1467471373179,3.42592461793996e-24,5.99422959013005e-23
"CD46",31777.4379888697,30,2.9566125753269,10.1467470747949,3.42592681208326e-24,5.99422959013005e-23
"LIAS",31143.8828002614,30,2.95661258552707,10.1467470397891,3.42592804055519e-24,5.99422959013005e-23
"PHYKPL",31030.0885210647,30,2.95661258740565,10.146747033342,3.42592826680402e-24,5.99422959013005e-23
"RAB8B",29188.1282972216,30,2.95661261980654,10.146746922146,3.42593216905433e-24,5.99422959013005e-23
"ABHD16A",28362.6442439066,30,2.95661263569297,10.1467468676256,3.42593408236236e-24,5.99422959013005e-23
"HEL-S-90n",27435.0491152394,30,2.95661265468491,10.1467468024475,3.4259363696886e-24,5.99422959013005e-23
"LIMA1",26113.8299842045,30,2.95661268406572,10.1467467016161,3.42593990821753e-24,5.99422959013005e-23
"MAP2K1",25235.4876677591,30,2.95661270529968,10.1467466287436,3.42594246557041e-24,5.99422959013005e-23
"MUT",23550.6251140984,30,2.95661275046454,10.1467464737431,3.42594790509102e-24,5.99422959013005e-23
"NPEPPS",22504.8970238361,30,2.95661278184085,10.1467463660633,3.42595168396546e-24,5.99422959013005e-23
"PNPLA6",22252.7999607487,30,2.95661278995568,10.1467463382142,3.4259526612929e-24,5.99422959013005e-23
"QTRT1",21225.6627510555,30,2.95661282455745,10.146746219465,3.42595682863783e-24,5.99422959013005e-23
